filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
000000324383.jpg,77384,"{""width"":500,""height"":375}",1,0,"{""name"":""polygon"",""all_points_x"":[346.02,375.88,409.25,421.55,432.08,459.31,402.22,370.61,351.29,322.31,288.93,202.87,43.03,135.25,132.61,247.66,262.59,283.67,346.9,424.18,157.2,118.56,2.63,0,0,57.96,277.52,295.96,500,500,500,437.35,432.08,352.17],""all_points_y"":[284.63,262.67,228.42,217.88,209.1,135.33,107.23,94.93,87.03,73.86,76.49,82.64,158.16,214.37,238.08,324.15,352.25,352.25,295.17,373.33,375,375,245.99,169.58,166.95,132.7,27.31,28.19,99.32,325.9,375,375,374.21,293.41]}","{""category"":""bed""}"
000000154202.jpg,103758,"{""width"":640,""height"":480}",1,0,"{""name"":""polygon"",""all_points_x"":[84.13,65.8,89.53,124.04,152.09,166.11,180.13,210.34,225.44,235.15,225.44,161.8,129.44,72.27,163.96,152.09,15.1,46.38,56.09,21.57,3.24,2.16,638.56,637.48,621.3,524.22,433.62,448.72,602.97,601.89,83.06],""all_points_y"":[11.87,70.11,57.17,36.67,36.67,36.67,38.83,52.85,78.74,138.07,171.51,193.08,209.26,256.72,257.8,440.09,433.62,269.66,254.56,244.85,294.47,469.21,474.61,291.24,199.55,179.06,165.03,42.07,60.4,1.08,1.08]}","{""category"":""bed""}"
000000504142.jpg,141328,"{""width"":640,""height"":484}",2,1,"{""name"":""polygon"",""all_points_x"":[13.79,47.65,348.58,329.77,333.53,364.88,466.45,520.36,583.06,601.87,604.37,638.23,638.23,8.78,5.02],""all_points_y"":[214,214,234.06,267.91,292.99,325.59,331.86,305.53,321.83,316.82,281.71,254.12,473.55,471.04,469.79]}","{""category"":""bed""}"
000000438723.jpg,163563,"{""width"":481,""height"":640}",1,0,"{""name"":""polygon"",""all_points_x"":[481,0,1.44,480.36],""all_points_y"":[3.24,1.8,631.73,631.73]}","{""category"":""bed""}"
000000370423.jpg,89405,"{""width"":640,""height"":419}",2,1,"{""name"":""polygon"",""all_points_x"":[1.75,0,74.63,139.92,123.83,120.99,120.04,120.99,146.54,152.22,177.78,208.05,250.64,258.21,251.59,281.87,282.82,303.64,325.41,338.65,386.92,414.36,456,473.98,491.01,531.72,571.46,612.15,627.29,640,638.65,4.59],""all_points_y"":[412.33,226.85,204.13,206.98,210.76,226.85,225.9,237.25,235.37,240.09,237.25,239.15,239.15,229.69,210.76,209.82,174.79,141.68,141.68,123.7,97.2,115.18,133.15,124.64,137.89,150.19,140.73,167.23,185.21,183.32,410.43,409.5]}","{""category"":""bed""}"
000000310227.jpg,129590,"{""width"":640,""height"":541}",1,0,"{""name"":""polygon"",""all_points_x"":[12.1,156.13,268.68,338.88,380.03,433.28,457.49,520.43,586.99,631.77,631.77,625.72,370.35,118.61,13.31,3.63,9.68,12.1],""all_points_y"":[341.42,330.53,329.32,329.32,328.11,328.11,326.9,322.05,325.69,326.9,418.88,478.18,476.97,474.55,476.97,474.55,391.04,358.36]}","{""category"":""bed""}"
000000542959.jpg,153833,"{""width"":500,""height"":500}",5,0,"{""name"":""polygon"",""all_points_x"":[279.94,363.89,364.46,367.91,365.04,359.86,361.59,362.74,251.19,251.76,262.11,271.89,281.09],""all_points_y"":[52.74,54.47,74.02,77.47,95.87,106.8,122.32,124.62,125.2,87.82,85.52,75.17,63.67]}","{""category"":""bed""}"
000000542959.jpg,153833,"{""width"":500,""height"":500}",5,1,"{""name"":""polygon"",""all_points_x"":[107.34,114.21,125.89,124.51,120.39,56.52,62.09,63.34,80.02,98.37,98.78],""all_points_y"":[437.03,434.28,454.88,471.36,500,478.7,469.5,461.16,454.91,441.98,440.73]}","{""category"":""bed""}"
000000542959.jpg,153833,"{""width"":500,""height"":500}",5,2,"{""name"":""polygon"",""all_points_x"":[57.54,70.13,70.42,69.56,67.56,54.68,53.54,55.82,62.98,71.56,79,96.17,104.75,124.78,124.78],""all_points_y"":[372,365.99,362.85,362.85,364.28,365.14,359.99,354.84,347.4,339.96,334.81,327.94,326.23,327.37,373.15]}","{""category"":""bed""}"
000000542959.jpg,153833,"{""width"":500,""height"":500}",5,3,"{""name"":""polygon"",""all_points_x"":[493.51,476.06,474.34,470.34,498.38,497.52],""all_points_y"":[469.33,477.05,485.35,497.08,497.36,469.33]}","{""category"":""bed""}"
000000542959.jpg,153833,"{""width"":500,""height"":500}",5,4,"{""name"":""polygon"",""all_points_x"":[29.99,32.03,37.82,37.04,37.04,40.48,43.61,46.43,47.21,44.55,43.61,43.77,42.2,40.48,21.38,18.57,18.57,16.53,16.38,12.77,8.86,6.2,3.85,2.91,2.44,7.92,17.78],""all_points_y"":[438.48,444.12,447.72,451.16,452.73,457.11,458.99,467.76,472.45,475.11,478.71,482.31,481.37,476.05,480.75,481.53,486.85,486.07,482.31,480.75,477.46,473.7,469.32,469.32,438.64,436.76,433.63]}","{""category"":""bed""}"
000000385786.jpg,89881,"{""width"":500,""height"":333}",2,0,"{""name"":""polygon"",""all_points_x"":[66.45,47.04,53.76,116.48,184.42,276.26,81.38],""all_points_y"":[299.36,208.27,194.83,177.66,173.93,220.22,276.22]}","{""category"":""bed""}"
