filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
000000522418.jpg,84444,"{""width"":640,""height"":480}",1,0,"{""name"":""polygon"",""all_points_x"":[71.19,5.39,0,0,365.66,379.69,354.88,247.01,232.99,277.21,326.83,379.69,386.16,393.71,406.65,406.65,399.1,286.92,179.06,98.16],""all_points_y"":[327.91,371.06,371.06,473.53,473.53,442.25,431.46,417.44,410.97,406.65,408.81,416.36,418.52,413.12,379.69,366.74,339.78,323.6,318.2,316.04]}","{""category"":""cake""}"
000000321079.jpg,95249,"{""width"":640,""height"":426}",1,0,"{""name"":""polygon"",""all_points_x"":[3.83,39.25,54.57,56.48,56.48,65.1,76.58,79.46,94.77,108.18,113.92,116.79,131.15,141.68,154.13,168.49,179.02,194.33,218.27,260.39,272.83,313.04,352.29,359.95,370.48,373.35,379.09,505.46,518.86,534.18,540.88,544.71,552.36,541.83,532.26,550.45,557.15,554.28,556.19,551.41,565.77,578.21,586.83,592.57,585.87,566.72,558.11,560.98,563.85,564.81,564.81,560.02,561.94,557.15,545.66,544.71,529.39,522.69,509.29,487.27,474.82,467.16,454.72,436.53,424.09,403.02,376.22,378.13,365.69,233.58,7.66,1.91,0,0.96,4.79],""all_points_y"":[278.42,210.45,198.96,193.22,184.6,156.84,140.56,129.08,113.76,97.49,81.21,76.42,67.81,56.32,48.66,48.66,52.49,53.45,48.66,42.92,34.3,32.39,31.43,20.9,10.37,2.71,0.8,2.71,0.8,21.86,41,54.41,63.02,85.04,99.4,121.42,132.91,151.09,173.11,183.64,168.33,169.28,173.11,174.07,186.51,195.13,196.09,207.58,215.23,222.89,236.29,242.04,247.78,254.48,283.2,294.69,320.54,320.54,324.37,341.6,347.34,357.87,371.27,383.72,389.46,399.04,409.57,413.4,421.05,421.05,421.05,420.1,419.14,281.29,276.5]}","{""category"":""cake""}"
000000146973.jpg,136724,"{""width"":500,""height"":400}",2,0,"{""name"":""polygon"",""all_points_x"":[203,209.01,212.84,218.31,221.04,223.23,236.36,258.24,276.83,283.39,287.22,291.6,289.96,285.04,285.04,281.75,283.39,281.21,274.64,264.8,257.14,246.2,234.17,220.5,213.93,206.82],""all_points_y"":[300.93,275.77,237.49,198.11,183.89,177.87,175.68,186.07,185.53,182.79,182.25,189.36,200.84,250.07,250.61,277.41,300.38,310.23,314.6,311.87,312.42,314.06,314.06,312.96,310.77,305.85]}","{""category"":""cake""}"
000000146973.jpg,136724,"{""width"":500,""height"":400}",2,1,"{""name"":""polygon"",""all_points_x"":[211.24,205.84,180.67,167.19,139.33,150.11,174.38,193.26],""all_points_y"":[190.56,286.74,288.54,276.85,177.08,157.3,151.91,160.9]}","{""category"":""cake""}"
000000400139.jpg,244831,"{""width"":640,""height"":480}",1,0,"{""name"":""polygon"",""all_points_x"":[639.39,631.83,624.74,622.63,618.17,612.12,606.34,605.02,619.22,633.68,639.46],""all_points_y"":[78.54,86.86,93.96,99.74,117.36,133.39,146.54,153.63,160.47,163.1,163.36]}","{""category"":""cake""}"
000000415746.jpg,139382,"{""width"":640,""height"":480}",14,1,"{""name"":""polygon"",""all_points_x"":[243.78,230.83,213.57,211.42,214.65,217.89,227.6,243.78,262.11,276.13,277.21,268.58,253.48],""all_points_y"":[234.07,229.75,216.81,193.08,179.06,175.82,161.8,159.64,163.96,174.74,197.39,218.97,229.75]}","{""category"":""cake""}"
000000415746.jpg,139382,"{""width"":640,""height"":480}",14,2,"{""name"":""polygon"",""all_points_x"":[223.12,221.69,178.9,177.47,182.46,194.59,213.85,222.4,226.68],""all_points_y"":[357.87,390.68,386.4,352.88,342.18,332.2,329.35,335.76,350.03]}","{""category"":""cake""}"
000000415746.jpg,139382,"{""width"":640,""height"":480}",14,3,"{""name"":""polygon"",""all_points_x"":[83.46,82.84,88.11,97.4,111.65,119.71,127.45,130.55,133.03,129.62,128.38,128.38,105.46],""all_points_y"":[354.27,336.61,326.08,320.81,319.26,319.88,324.22,326.7,335.68,343.12,349,358.6,357.05]}","{""category"":""cake""}"
000000415746.jpg,139382,"{""width"":640,""height"":480}",14,4,"{""name"":""polygon"",""all_points_x"":[222.04,222.37,227.76,241.22,252,265.12,275.56,279.6,274.55],""all_points_y"":[376.54,355.67,348.93,339.17,337.82,342.2,353.98,362.06,379.23]}","{""category"":""cake""}"
000000415746.jpg,139382,"{""width"":640,""height"":480}",14,6,"{""name"":""polygon"",""all_points_x"":[161.66,183.62,190.94,210.05,222.66,217.78,210.05,212.49,205.58,188.9,177.52,181.58,184.02,176.7,168.57,162.06],""all_points_y"":[155.72,147.18,148.81,153.69,165.48,179.31,200.86,213.06,215.5,215.91,213.06,197.2,182.97,170.77,165.48,160.6]}","{""category"":""cake""}"
000000415746.jpg,139382,"{""width"":640,""height"":480}",14,7,"{""name"":""polygon"",""all_points_x"":[178.33,180.77,179.15,167.35,154.75,142.55,131.97,127.5,127.5],""all_points_y"":[368.02,344.43,335.89,327.76,324.91,327.35,334.67,353.38,363.96]}","{""category"":""cake""}"
000000415746.jpg,139382,"{""width"":640,""height"":480}",14,8,"{""name"":""polygon"",""all_points_x"":[34.84,12.67,1.06,0,0,12.67,31.67,45.4,40.12],""all_points_y"":[192,192,182.5,160.33,138.16,131.83,136.05,151.88,178.28]}","{""category"":""cake""}"
000000415746.jpg,139382,"{""width"":640,""height"":480}",14,9,"{""name"":""polygon"",""all_points_x"":[427.66,432.54,476.48,486.25,471.6,455.98,444.26,433.52],""all_points_y"":[331.31,351.81,366.46,344.98,325.45,317.64,324.47,330.33]}","{""category"":""cake""}"
000000415746.jpg,139382,"{""width"":640,""height"":480}",14,10,"{""name"":""polygon"",""all_points_x"":[221.69,233.53,243.59,249.33,252.56,257.94,265.84,267.64,267.28,258.66,257.58,252.56,238.92,228.87,223.48],""all_points_y"":[320.79,321.87,328.33,333.36,335.51,331.2,326.18,325.82,322.23,313.61,312.9,310.38,308.59,315.41,318.28]}","{""category"":""cake""}"
000000415746.jpg,139382,"{""width"":640,""height"":480}",14,11,"{""name"":""polygon"",""all_points_x"":[181.82,199.51,206.73,208.97,208.97,205.74,200.75,195.02,190.29,180.07,175.34,160.89,152.17,147.43,145.19,145.44,140.46,139.71,140.46,148.43,155.9,159.89,162.63,164.13,173.1,175.84,179.08,179.32,179.57,182.56],""all_points_y"":[463.75,457.52,451.79,445.81,439.83,431.11,430.11,428.62,426.13,426.37,424.13,428.12,430.86,433.6,434.1,436.84,441.32,445.31,446.56,446.81,447.8,447.8,449.05,451.79,453.78,456.52,457.77,460.76,463.75,463.75]}","{""category"":""cake""}"
000000415746.jpg,139382,"{""width"":640,""height"":480}",14,12,"{""name"":""polygon"",""all_points_x"":[487.17,486.09,479.03,479.57,483.91,500.19,513.22],""all_points_y"":[339.51,318.89,311.29,303.15,299.35,298.81,345.48]}","{""category"":""cake""}"
000000578210.jpg,175072,"{""width"":640,""height"":480}",1,0,"{""name"":""polygon"",""all_points_x"":[125.12,145.62,193.08,379.69,536.09,565.21,587.87,604.04,597.57,598.65,598.65,580.31,522.07,475.69,430.38,379.69,302.02,323.6,331.15,331.15,333.3,310.65,296.63,273.98,258.88,241.62,223.28,195.24,155.33,147.78,157.48,185.53,189.84,145.62,142.38,127.28,121.89,114.34,107.87,108.94,110.02,108.94,108.94,121.89],""all_points_y"":[412.04,415.28,423.91,435.78,441.17,436.85,418.52,409.89,386.16,234.07,160.72,106.79,80.9,83.06,80.9,79.82,80.9,124.04,148.85,175.82,196.31,170.43,132.67,124.04,118.65,120.81,121.89,127.28,133.75,142.38,167.19,188.76,207.1,175.82,174.74,201.71,225.44,255.64,295.55,325.75,352.72,375.37,392.63,405.57]}","{""category"":""cake""}"
000000201925.jpg,90608,"{""width"":640,""height"":480}",1,0,"{""name"":""polygon"",""all_points_x"":[14.02,135.91,393.71,443.33,555.51,612.67,567.37,543.64,455.19,324.67,174.74,70.11,19.42],""all_points_y"":[183.37,223.28,237.3,214.65,199.55,182.29,99.24,83.06,77.66,81.98,111.1,115.42,176.9]}","{""category"":""cake""}"
000000570579.jpg,168137,"{""width"":640,""height"":427}",1,0,"{""name"":""polygon"",""all_points_x"":[236.05,259.08,357.91,487.45,546.94,533.51,454.83,359.83,286.91,237.01],""all_points_y"":[286.91,352.16,345.44,332.96,320.49,272.51,231.25,238.93,247.56,257.16]}","{""category"":""cake""}"
000000094194.jpg,199797,"{""width"":640,""height"":425}",1,0,"{""name"":""polygon"",""all_points_x"":[427.88,494.07,494.07,478.72,474.89,440.35,399.1,399.1,384.71,382.79],""all_points_y"":[397.66,379.43,349.69,338.18,303.64,284.45,297.88,328.58,335.3,365.04]}","{""category"":""cake""}"
000000453926.jpg,134244,"{""width"":640,""height"":426}",1,0,"{""name"":""polygon"",""all_points_x"":[51.69,42.12,56.48,60.31,72.76,82.33,74.67,80.41,96.69,118.71,155.08,247.94,339.84,405.9,471.95,487.27,478.65,481.52,481.52,470.99,472.91,502.58,534.18,537.05,540.88,551.41,556.19,563.85,564.81,560.98,563.85,563.85,560.98,564.81,564.81,560.02,557.15,552.36,533.22,534.18,453.76,346.54,277.62,223.05,217.31,206.78,196.25,183.8,165.61,144.55,123.49,107.22,78.5,75.63,64.14,55.52,47.87,49.78],""all_points_y"":[286.07,222.89,203.75,189.39,178.86,161.62,145.35,125.25,126.2,104.19,82.17,56.32,43.88,57.28,71.64,82.17,95.57,111.84,129.08,152.05,166.41,167.37,159.71,141.52,130.99,142.48,164.5,188.43,201.83,212.36,222.89,230.55,238.21,245.87,256.4,269.8,288.95,300.43,307.13,327.24,360.74,379.89,380.85,377.98,370.32,364.57,364.57,369.36,365.53,355,345.43,333.94,325.32,310.01,308.09,300.43,288.95,286.07]}","{""category"":""cake""}"
000000295837.jpg,199635,"{""width"":427,""height"":640}",1,0,"{""name"":""polygon"",""all_points_x"":[215.73,103.55,116.49,135.19,169.71,174.02,188.4,195.6,198.47,235.87,256,264.63,237.3,221.48],""all_points_y"":[527.82,524.94,490.43,470.29,451.6,427.15,427.15,435.78,444.4,467.42,483.24,497.62,527.82,527.82]}","{""category"":""cake""}"
000000279305.jpg,204918,"{""width"":640,""height"":541}",1,0,"{""name"":""polygon"",""all_points_x"":[63.36,65.8,68.23,57.27,45.08,41.43,47.52,59.7,63.36,53.61,54.83,63.36,65.8,75.55,103.57,343.61,346.05,355.79,380.16,392.35,419.15,426.46,448.4,478.86,500.79,556.84,554.4,544.66,550.75,545.87,528.82,509.32,504.45,484.95,470.33,488.61,466.67,458.14,431.34,417.93,405.75,392.35,380.16,272.94,271.72,263.19,259.53,251,247.35,246.13,216.89,148.65,165.71,174.24,176.68,171.8,163.27,135.25,124.28,112.1],""all_points_y"":[238.21,340.56,345.44,351.53,356.4,362.49,386.86,401.49,429.51,444.13,470.94,486.78,505.06,529.42,535.52,534.3,526.99,523.33,526.99,535.52,520.9,503.84,498.96,511.15,491.65,475.81,433.17,405.14,319.85,269.89,232.12,223.59,232.12,202.88,206.53,160.23,166.32,180.94,165.1,162.67,169.98,156.57,144.39,161.45,162.67,173.63,215.06,232.12,229.68,171.19,184.6,195.56,278.42,316.19,343,351.53,344.22,249.18,206.53,205.31]}","{""category"":""cake""}"
000000069577.jpg,154350,"{""width"":640,""height"":426}",1,0,"{""name"":""polygon"",""all_points_x"":[208.03,215.42,222.47,236.19,250.98,261.89,279.85,289.7,291.82,290.41,290.41,289,287.59,288.3,287.59,287.24,285.13,279.85,271.75,267.17,260.13,256.61,248.87,246.76,241.48,236.9,231.97,224.93,221.76,216.48,215.07,213.31,213.31,211.2,209.79,208.03,208.03,208.03],""all_points_y"":[257.31,262.59,261.18,259.77,257.31,256.95,254.84,253.08,242.17,230.2,223.86,216.12,208.37,203.8,200.27,196.4,192.88,187.95,187.25,187.6,186.19,187.6,185.14,186.19,184.43,185.14,183.73,184.43,184.79,186.55,199.22,206.26,212.24,220.34,225.97,240.06,244.28,252.38]}","{""category"":""cake""}"
