filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
000000173350.jpg,110865,"{""width"":640,""height"":480}",2,0,"{""name"":""polygon"",""all_points_x"":[281.21,283.15,266.67,268.61,277.33,298.67,310.3,326.79,335.52,337.45,352,364.61,384.97,437.33,447.03,465.45,461.58,461.58,464.48,468.36,464.48,448,425.7,424.73,413.09,403.39,400.48,396.61,396.61,388.85,387.88,374.3,381.09,382.06,361.7,345.21,337.45,307.39,291.88,280.24],""all_points_y"":[264.73,226.91,171.64,153.21,127.03,111.52,104.73,89.21,70.79,57.21,33.94,19.39,10.67,0,9.7,24.24,45.58,45.58,60.12,68.85,96.97,111.52,122.18,135.76,167.76,185.21,204.61,218.18,219.15,237.58,237.58,236.61,251.15,265.7,269.58,258.91,256,256,256.97,266.67]}","{""category"":""bed""}"
000000173350.jpg,110865,"{""width"":640,""height"":480}",2,1,"{""name"":""polygon"",""all_points_x"":[347.15,312.24,278.3,256,250.18,259.88,264.73,256.97,276.36,312.24,307.39,329.7,344.24,345.21,352.97,352.97,379.15,410.18,409.21,415.03,431.52,435.39,442.18,453.82,448,407.27,383.03,367.52],""all_points_y"":[264,254.3,261.09,311.52,350.3,350.3,366.79,392,430.79,433.7,455.03,457.94,444.36,443.39,438.55,438.55,421.09,428.85,415.27,409.45,408.48,405.58,396.85,360.97,319.27,297.94,292.12,292.12]}","{""category"":""bed""}"
000000281533.jpg,102198,"{""width"":640,""height"":434}",2,0,"{""name"":""polygon"",""all_points_x"":[293.03,297.07,298.69,299.5,301.92,314.05,326.17,322.13,311.62,301.92,295.45,320.52,364.17,385.19,390.85,373.87,402.17,428.84,393.27,381.96,330.22,291.41],""all_points_y"":[393.67,387.2,304.74,269.98,238.45,211.77,184.28,172.97,192.37,182.67,161.65,127.69,124.46,151.14,164.07,190.75,268.36,397.71,429.24,434,430.04,405.79]}","{""category"":""bed""}"
000000281533.jpg,102198,"{""width"":640,""height"":434}",2,1,"{""name"":""polygon"",""all_points_x"":[280.38,284.03,289.02,289.6,286.53,290.56,294.02,297.1,295.94,300.36,299.02,307.09,311.9,304.78,305.36,310.17,314.39,314.01,319.78,319.97,322.85,324.39,321.51,328.81,331.5,324.58,319.01,310.17,293.25,277.11,275.76,271.92,275.76],""all_points_y"":[102.37,102.37,103.91,110.06,118.13,117.74,106.4,106.98,114.48,113.32,106.98,108.33,112.94,116.97,118.51,118.9,113.32,110.44,113.13,119.28,118.9,114.86,110.44,116.59,115.82,106.02,96.99,94.68,95.64,92.76,97.76,102.18,103.52]}","{""category"":""bed""}"
000000334321.jpg,109945,"{""width"":640,""height"":360}",1,0,"{""name"":""polygon"",""all_points_x"":[405.68,406.32,405.68,403.74,401.15,398.57,395.34,394.69,393.07,390.49,387.9,385.32,383.38,381.12,378.21,376.27,368.84,362.7,353.97,347.83,343.3,339.75,338.13,334.58,331.99,316.48,297.09,271.24,255.72,227.29,198.2,188.5,178.49,183.33,183.66,183.98,184.63,191.09,191.41,192.38,186.89,189.15,189.47,190.12,191.41,193.35,199.17,203.69,203.37,200.14,200.14,207.57,210.48,213.39,214.68,212.42,211.13,217.59,221.79,222.11,223.41,225.02,225.35,225.99,224.7,226.32,225.99,225.99,226.32,239.24,246.03,251.52,253.14,258.96,262.83,267.04,269.94,271.56,277.38,278.99,279.96,279.64,277.05,273.5,268.65,266.07,263.16,256.69,244.41,244.41,243.12,242.47,242.8,244.09,248.29,254.43,259.6,262.83,266.07,269.62,276.08,280.61,285.13,286.1,286.75,279.96,277.38,269.94,264.45,258.31,254.11,253.79,252.17,251.85,252.49,252.49,251.85,250.55,250.55,256.69,258.96,263.8,270.91,273.18,288.36,295.47,299.68,304.2,308.72,312.28,319.07,321.98,321.98,324.24,323.27,326.5,330.38,331.02,332.32,336.84,339.1,344.27,345.57,348.48,349.44,350.41,352.68,359.46,362.7,366.57,369.16,370.45,371.74,370.13,365.28,360.43,358.49,352.68,351.06,350.09,350.74,353.97,356.23,356.88,355.26,353.32,351.71,350.41,347.83,347.83,346.86,346.21,346.21,346.54,346.86,346.54,346.54,346.54,348.8,350.41,351.71,361.4,360.43,360.43,361.73,363.99,364.63,364.31,364.96,370.45,380.15,384.67,390.16,394.04,397.27,400.51,404.38,411.17,413.76,416.67,417.31,421.51,422.81,422.81,423.77,423.77,425.07,424.1,420.87,417.31,413.43,411.82,410.85,411.17,411.17,412.79,409.88,406.97],""all_points_y"":[125.99,122.11,118.88,115.01,113.71,113.71,111.77,110.48,109.83,109.83,111.45,111.13,109.51,109.51,109.51,109.51,112.74,113.07,115.97,118.24,119.85,121.79,122.44,122.44,122.76,126.96,132.46,144.74,152.82,155.73,162.83,166.07,170.91,174.79,177.7,179.64,182.55,188.37,190.63,191.27,199.03,212.93,221.98,231.67,248.48,252.68,252.68,254.62,257.52,263.67,263.99,267.87,265.28,260.76,255.59,250.09,247.18,248.48,252.35,259.46,263.02,273.36,278.85,284.03,289.52,292.75,297.6,302.45,306.32,317.96,326.04,332.82,335.73,342.84,343.49,343.49,342.52,342.2,339.93,338.64,337.03,335.41,333.47,331.21,327.33,326.36,325.39,319.9,307.62,303.09,295.34,290.81,287.26,283.7,286.29,291.78,296.95,304.06,308.59,310.53,311.82,310.85,310.2,308.59,307.94,300.83,299.21,295.34,287.9,281.12,269.81,264.96,263.02,260.76,254.29,247.18,244.27,241.69,241.04,240.4,239.43,236.84,235.55,235.55,235.55,235.55,235.55,234.9,231.99,230.38,233.61,237.16,241.04,255.26,274.33,279.5,287.58,292.43,297.28,300.51,301.8,312.46,316.34,318.28,319.25,319.57,320.22,320.87,320.22,318.93,316.02,314.4,313.11,309.88,308.26,305.35,305.68,304.39,303.09,300.51,297.6,299.54,295.98,294.37,291.46,289.2,289.2,288.23,287.9,287.26,271.42,255.26,248.15,236.2,227.15,221.65,217.45,211.63,208.08,204.2,201.62,193.54,190.3,186.75,182.55,180.29,176.41,175.76,173.5,174.79,177.7,178.67,178.99,178.35,178.67,178.67,182.23,181.9,181.9,180.29,178.99,172.85,169.94,166.07,163.48,162.83,159.93,158.63,156.69,152.49,148.29,147,145.38,140.54,140.21,134.4,129.22,126.32]}","{""category"":""bed""}"
000000093201.jpg,121608,"{""width"":640,""height"":425}",1,0,"{""name"":""polygon"",""all_points_x"":[0,29.07,41.9,54.73,68.41,84.66,93.21,121.43,135.97,146.23,153.92,169.32,182.14,170.17,159.05,141.1,132.55,141.1,147.08,166.75,173.59,186.42,193.26,204.38,215.49,242,276.21,327.52,399.35,424.14,428.42,421.58,416.45,409.61,410.46,397.64,391.65,383.1,387.37,391.65,383.1,366.85,372.84,359.15,351.46,340.34,327.52,315.54,308.7,304.43,308.7,311.27,1.71,1.71],""all_points_y"":[354.96,320.76,312.21,313.92,295.1,268.59,263.46,254.06,251.49,249.78,238.66,220.71,208.73,199.33,207.88,212.16,206.17,195.05,179.66,163.41,154.01,140.32,135.19,121.51,119.8,130.92,148.88,183.94,236.1,258.33,284.84,317.34,337.86,342.13,376.34,381.47,376.34,360.95,334.44,322.47,325.03,326.74,352.4,365.22,372.06,378.91,384.89,389.17,396.86,405.41,409.69,417.39,417.39,358.38]}","{""category"":""bed""}"
000000183757.jpg,314859,"{""width"":480,""height"":640}",2,0,"{""name"":""polygon"",""all_points_x"":[315.47,345.21,381.41,394.34,415.03,385.29,354.26,324.53,302.55,311.6,318.06],""all_points_y"":[580.13,586.59,578.84,558.15,549.1,519.36,498.68,515.48,541.34,572.37,574.96]}","{""category"":""bed""}"
000000183757.jpg,314859,"{""width"":480,""height"":640}",2,1,"{""name"":""polygon"",""all_points_x"":[228.76,268.43,314.71,334.55,353.06,371.57,353.06,354.38,370.25,358.35,363.64,359.67,323.97,305.45,306.78,302.81,292.23,268.43,252.56,245.95,234.05,230.08,230.08],""all_points_y"":[505.12,456.2,433.72,427.11,427.11,427.11,444.3,465.45,482.64,489.26,498.51,501.16,515.7,540.83,560.66,565.95,552.73,555.37,554.05,546.12,550.08,531.57,506.45]}","{""category"":""bed""}"
000000437609.jpg,123484,"{""width"":640,""height"":458}",1,0,"{""name"":""polygon"",""all_points_x"":[609.74,631.95,640,631.02,599.56,559.78,452.45,409.89,400.63,392.31,390.46,372.88,391.38,409.89,425.62,406.19,417.29,428.39,427.47,425.62,420.06,421.92,457.07,479.28,517.22,520.92,502.41,519.99,524.62,530.17,543.12,541.27,544.05,557.93,571.81,579.21,590.31,589.39,577.36,595.86],""all_points_y"":[269.48,271.33,276.88,234.32,219.52,210.26,201.01,236.17,255.6,251.9,247.27,267.63,277.81,270.41,284.28,312.97,341.65,349.98,338.87,325.92,320.37,306.49,279.66,268.55,280.58,295.39,310.19,316.67,307.42,335.17,336.1,312.97,292.61,296.31,305.56,311.12,301.86,283.36,281.51,267.63]}","{""category"":""bed""}"
000000143824.jpg,90706,"{""width"":500,""height"":313}",1,0,"{""name"":""polygon"",""all_points_x"":[257.99,259.25,260.52,255.46,259.25,263.05,280.75,280.75,287.07,295.29,302.25,300.35,311.74,310.47,306.68,307.94,307.31,331.34,333.23,308.57,299.72,288.34,272.53,246.61,235.86,231.43,222.58,211.2,194.76,175.15,159.98,158.08,159.98,159.98,166.93,175.15,184.01,184.01,199.18,205.51,206.14,224.47,224.47,240.92,242.18,254.83],""all_points_y"":[222.38,206.58,192.67,184.45,177.49,176.22,171.17,171.17,166.11,192.03,214.16,223.02,220.49,209.74,194.56,161.05,157.26,171.8,163.58,148.4,118.68,108.57,100.35,106.67,108.57,105.4,84.54,76.95,77.58,74.42,87.07,114.89,125.01,140.81,147.77,153.46,154.09,174.96,200.25,215.43,225.55,223.02,210.37,211,224.28,223.02]}","{""category"":""bed""}"
000000522418.jpg,84444,"{""width"":640,""height"":480}",1,0,"{""name"":""polygon"",""all_points_x"":[71.19,5.39,0,0,365.66,379.69,354.88,247.01,232.99,277.21,326.83,379.69,386.16,393.71,406.65,406.65,399.1,286.92,179.06,98.16],""all_points_y"":[327.91,371.06,371.06,473.53,473.53,442.25,431.46,417.44,410.97,406.65,408.81,416.36,418.52,413.12,379.69,366.74,339.78,323.6,318.2,316.04]}","{""category"":""dog""}"
